run_name,generation,best_fitness,mean_fitness,best_T_total,best_D_max,best_penalty,name,desc,pop_size,n_generations,mutation_rate,crossover_rate,elitism_k,selection_method,crossover_method,tournament_k,W1,W2,W3,seed
corrida_04_prioridad_densidad,21,0.0015455950517069628,0.0014916123683775065,230,266,0.0,corrida_04_prioridad_densidad,W2=2.0: penaliza el doble los cuellos de botella vs. tiempo,80,150,0.1,0.8,5,tournament,single_point,3,0.5,2.0,10.0,42
corrida_04_prioridad_densidad,22,0.0015455950517069628,0.0014990710400298733,230,266,0.0,corrida_04_prioridad_densidad,W2=2.0: penaliza el doble los cuellos de botella vs. tiempo,80,150,0.1,0.8,5,tournament,single_point,3,0.5,2.0,10.0,42
corrida_04_prioridad_densidad,23,0.0015455950517069628,0.001507117274814717,230,266,0.0,corrida_04_prioridad_densidad,W2=2.0: penaliza el doble los cuellos de botella vs. tiempo,80,150,0.1,0.8,5,tournament,single_point,3,0.5,2.0,10.0,42
corrida_04_prioridad_densidad,24,0.0015455950517069628,0.0014936070386609907,230,266,0.0,corrida_04_prioridad_densidad,W2=2.0: penaliza el doble los cuellos de botella vs. tiempo,80,150,0.1,0.8,5,tournament,single_point,3,0.5,2.0,10.0,42
corrida_04_prioridad_densidad,25,0.0015455950517069628,0.0015025287730472702,230,266,0.0,corrida_04_prioridad_densidad,W2=2.0: penaliza el doble los cuellos de botella vs. tiempo,80,150,0.1,0.8,5,tournament,single_point,3,0.5,2.0,10.0,42
corrida_04_prioridad_densidad,26,0.0015467904075068982,0.0015086361501328745,229,266,0.0,corrida_04_prioridad_densidad,W2=2.0: penaliza el doble los cuellos de botella vs. tiempo,80,150,0.1,0.8,5,tournament,single_point,3,0.5,2.0,10.0,42
corrida_04_prioridad_densidad,27,0.0015467904075068982,0.0014944328271723662,229,266,0.0,corrida_04_prioridad_densidad,W2=2.0: penaliza el doble los cuellos de botella vs. tiempo,80,150,0.1,0.8,5,tournament,single_point,3,0.5,2.0,10.0,42
corrida_04_prioridad_densidad,28,0.0015467904075068982,0.0015014098016591653,229,266,0.0,corrida_04_prioridad_densidad,W2=2.0: penaliza el doble los cuellos de botella vs. tiempo,80,150,0.1,0.8,5,tournament,single_point,3,0.5,2.0,10.0,42
corrida_04_prioridad_densidad,29,0.0015467904075068982,0.0014970124513725115,229,266,0.0,corrida_04_prioridad_densidad,W2=2.0: penaliza el doble los cuellos de botella vs. tiempo,80,150,0.1,0.8,5,tournament,single_point,3,0.5,2.0,10.0,42
corrida_04_prioridad_densidad,30,0.0015467904075068982,0.0015060920025571347,229,266,0.0,corrida_04_prioridad_densidad,W2=2.0: penaliza el doble los cuellos de botella vs. tiempo,80,150,0.1,0.8,5,tournament,single_point,3,0.5,2.0,10.0,42
corrida_04_prioridad_densidad,31,0.0015467904075068982,0.0015149280994416435,229,266,0.0,corrida_04_prioridad_densidad,W2=2.0: penaliza el doble los cuellos de botella vs. tiempo,80,150,0.1,0.8,5,tournament,single_point,3,0.5,2.0,10.0,42
corrida_04_prioridad_densidad,32,0.0015467904075068982,0.0015007635068388615,229,266,0.0,corrida_04_prioridad_densidad,W2=2.0: penaliza el doble los cuellos de botella vs. tiempo,80,150,0.1,0.8,5,tournament,single_point,3,0.5,2.0,10.0,42
corrida_04_prioridad_densidad,33,0.0015467904075068982,0.0014981468842463015,229,266,0.0,corrida_04_prioridad_densidad,W2=2.0: penaliza el doble los cuellos de botella vs. tiempo,80,150,0.1,0.8,5,tournament,single_point,3,0.5,2.0,10.0,42
corrida_04_prioridad_densidad,34,0.0015467904075068982,0.0015001870676044117,229,266,0.0,corrida_04_prioridad_densidad,W2=2.0: penaliza el doble los cuellos de botella vs. tiempo,80,150,0.1,0.8,5,tournament,single_point,3,0.5,2.0,10.0,42
